index,name,parent,posx,posy,posz,rotx,roty,rotz,scalex,scaley,scalez
1,labyrinth,-1,0,0,0,0,0,0,3.333333,3.333333,3.333333
2,Floor,1,1.880913,0,-0.001119852,0,0,0,3,0.3,3
3,Ceiling,1,1.880913,1.5,-0.001119852,0,180,180,3,0.3,3
4,Wall,1,1.880913,0.7499999,-15.00112,0,0,0,30,1.5,0.3
5,Wall (1),1,1.880913,0.7499999,14.99888,0,0,0,30,1.5,0.3
6,Wall (2),1,16.88091,0.7499999,-0.001119852,0,90,0,30,1.5,0.3
7,Wall (3),1,-13.11909,0.7499999,-0.001119852,0,90,0,30,1.5,0.3
8,InnerWall,1,14.48091,0.7499999,-3.00112,0,0,0,4.5,1.5,0.3
9,InnerWall,1,12.53091,0.7499999,-6.00112,0,0,0,3,1.5,0.3
10,InnerWall,1,12.53091,0.7499999,-0.001119852,0,0,0,3,1.5,0.3
11,InnerWall,1,1.880913,0.7499999,-0.001119852,0,0,0,6,1.5,0.3
12,InnerWall,1,1.880913,0.7499999,-9.001121,0,90,0,3,1.5,0.3
13,InnerWall,1,4.880913,0.7499999,-7.50112,0,90,0,3,1.5,0.3
14,InnerWall,1,4.280914,0.7499999,-9.001121,0,0,0,1.5,1.5,0.3
15,InnerWall,1,5.480911,0.7499999,-6.00112,0,0,0,1.5,1.5,0.3
16,InnerWall,1,3.530914,0.7499999,-4.65112,0,90,0,3,1.5,0.3
17,InnerWall,1,4.130912,0.7499999,-3.00112,0,0,0,1.5,1.5,0.3
18,InnerWall,1,4.880913,0.7499999,-0.7511199,0,90,0,1.5,1.5,0.3
19,InnerWall,1,7.880912,0.7499999,-1.50112,0,90,0,3,1.5,0.3
20,InnerWall,1,7.280914,0.7499999,-3.00112,0,0,0,1.5,1.5,0.3
21,InnerWall,1,8.480915,0.7499999,-0.001119852,0,0,0,1.5,1.5,0.3
22,InnerWall,1,8.480915,0.7499999,-6.00112,0,0,0,4.5,1.5,0.3
23,InnerWall,1,7.880912,0.7499999,-7.35112,0,90,0,3,1.5,0.3
24,InnerWall,1,10.88091,0.7499999,-5.40112,0,90,0,1.5,1.5,0.3
25,InnerWall,1,10.88091,0.7499999,-9.601121,0,90,0,1.5,1.5,0.3
26,InnerWall,1,9.380913,0.7499999,-12.00112,0,0,0,6,1.5,0.3
27,InnerWall,1,10.88091,0.7499999,-1.35112,0,90,0,3,1.5,0.3
28,InnerWall,1,9.080913,0.7499999,-10.50112,0,0,0,0.9000002,1.5,0.3
29,InnerWall,1,6.530914,0.7499999,-9.75112,0,90,0,4.500001,1.5,0.3
30,InnerWall,1,8.780914,0.7499999,-11.40112,0,90,0,1.5,1.5,0.3
31,InnerWall,1,8.480915,0.7499999,-9.001121,0,0,0,1.5,1.5,0.3
32,InnerWall,1,1.880913,0.7499999,-13.50112,0,90,0,3,1.5,0.3
