index,name,parent,posx,posy,posz,rotx,roty,rotz,scalex,scaley,scalez
1,CenterTree,-1,0,0,0,270,217.1209,0,1,1,0.5
2,tree,-1,96.8,7.5,0,273.6899,90.0753,65.00021,1.993218,1.998521,1.002075
3,tree (1),-1,57.57848,49.84505,0.5580044,273.6899,90.07544,92.13269,1.993218,1.998521,1.002075
4,tree (2),-1,14.66867,71.34441,1.199994,270,-2.414836E-06,0,2,2,1
5,tree (3),-1,-14.73811,93.60145,0.2999926,270,-2.414836E-06,0,2,2,1
6,tree (4),-1,-58.61211,64.92937,0.2999949,270,-2.414836E-06,0,1.399999,2,0.6999999
7,tree (5),-1,-90.47342,22.83308,0.4999995,270,90,0,2,2,0.6999999
8,tree (6),-1,-105.6,-10.1,0.5,270,90,0,1.399999,2,0.6999999
9,tree (7),-1,-67.52,-40.5,0.6,270,90,0,1.399999,2,0.6999999
10,tree (8),-1,6.6,-97.2,0.3,270,90,0,1.399999,2,0.6999999
11,mushroom,-1,58.57413,-47.66175,-0.090404,-2.452604E-06,153.196,-2.926315E-06,16.84141,8.420711,16.84141
12,flower2,-1,-46.17649,-70.3224,0.7900047,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
13,flower2 (1),-1,-28.84461,-80.4304,0.6800032,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
14,tree (9),-1,22.84253,-90.78092,0,270,245,0,6,6,3
15,tree (10),-1,17.22,-125.83,0,270,245,0,6,6,3
16,tree (11),-1,88.2,-30,-0.47,273.6899,90.0753,65.00021,1.993218,1.998521,1.002075
17,tree (12),-1,82.4,30.9,0.47,273.6899,90.07544,92.13269,1.993218,1.998521,1.002075
18,tree (13),-1,42.7,50.1,1.2,270,-2.414836E-06,0,2,2,1
19,tree (14),-1,-35.66,72.37,0.3,270,-2.414836E-06,0,1.399999,2,0.6999999
20,tree (15),-1,13.3,72.4,0.3,270,-2.414836E-06,0,2,2,1
21,tree (16),-1,-71.6,40.5,0.5,270,90,0,2,2,0.6999999
22,tree (17),-1,-84.6,-27.6,0.5,270,90,0,1.399999,2,0.6999999
23,tree (18),-1,-39.5,-61.7,0.49,270,90,0,1.399999,2,0.6999999
24,tree (19),-1,37.7,-97.9,0.3,270,89.99989,0,1.399999,2,0.6999999
25,flower2 (2),-1,-23.2,-88.7,0.62,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
26,flower2 (3),-1,-62.04,-57.64,0.89,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
27,flower2 (4),-1,-105.1,-4.29,1.29,270.6667,246.9993,94.35676,81.57638,568.3495,1.000068
28,tree (20),-1,-3.74,85.28,0.3,270,-2.414836E-06,0,2,2,1
29,tree (21),-1,26,62.78,0.3,270,-2.414836E-06,0,2,2,1
30,tree (22),-1,56.7,-79.59,0.3,270,89.99989,0,1.399999,2,0.6999999
